"Compound_ID","Compound_Name","Vendor_ID","Vendor","Smiles","InChI","CAS","Cocktail","Covalent"
"VT00190","","EN300-09813","Enamine","CC1=NC2=CC=CC=C2N1CCO","","","",""
"VT00029","","EN300-10104","Enamine","OC(=O)CN1CCCCCC1=O","","","",""
"VT00221","","EN300-10204","Enamine","NC1=CC=C2C=CC=CC2=N1","","","",""
"VT00087","","EN300-105225","Enamine","NC1=NC(=CN=C1)N1CCCC1","","","",""
"VT00038","","EN300-10777","Enamine","O=C1NC=C(C=C1)S(=O)(=O)N1CCCC1","","","",""
"VT00225","","EN300-114077","Enamine","CC1=NNC(=C1)C(F)(F)F","","","",""
"VT00226","","EN300-114757","Enamine","NC1=CC=C(C=N1)C(F)(F)F","","","",""
"VT00049","","EN300-11512","Enamine","NC1=CC=NN1CC1=CC=NC=C1","","","",""
"VT00210","","EN300-1198093","Enamine","CN1CCCCS1(=O)=O","","","",""
"VT00058","","EN300-120989","Enamine","COC1=CC=NC(=C1)C(N)=O","","","",""
"VT00122","","EN300-121813","Enamine","O=C1CC(CN1)C1CC1","","","",""
"VT00113","","EN300-1225357","Enamine","NC1=CN=C(N=C1)N1CCOCC1","","","",""
"VT00246","","EN300-122828","Enamine","C1=NN2C=CC=CC2=N1","","","",""
"VT00214","","EN300-124345","Enamine","CC1=NN=C2C=CC(=CN12)C(O)=O","","","",""
"VT00204","","EN300-124544","Enamine","COC(=O)C1CN(C)C(=O)C1","","","",""
"VT00253","","EN300-1250875","Enamine","CC1CCC2(CC(=O)N2)CC1","","","",""
"VT00264","","EN300-126121","Enamine","COC1=CC=C2NC(C)=NC2=C1","","","",""
"VT00198","","EN300-131692","Enamine","CNC(=O)C1=CC=CC=C1","","","",""
"VT00239","","EN300-132137","Enamine","CN(C)C1=CC=NC(N)=C1","","","",""
"VT00222","","EN300-132900","Enamine","CN(C(C)=O)C1=CC=CC=N1","","","",""
"VT00025","","EN300-133647","Enamine","OC1CN(C1)C(=O)C1=CC=CC=C1","","","",""
"VT00218","","EN300-134373","Enamine","C1CCC2=NN=CN2C1","","","",""
"VT00251","","EN300-137434","Enamine","O=C1CNCCN1C1=CC=CC=C1","","","",""
"VT00257","","EN300-13774","Enamine","CNS(=O)(=O)C1=C(C)ON=C1C","","","",""
"VT00175","","EN300-138372","Enamine","O=C1NC2=CC=CC=C2C=C1","","","",""
"VT00232","","EN300-138378","Enamine","C1=CN(N=C1)C1=CC=CC=N1","","","",""
"VT00244","","EN300-13859","Enamine","NC1=C2C3=C(CCC3)SC2=NC=N1","","","",""
"VT00229","","EN300-142084","Enamine","OCC1=CN(CC2=CC=CC=C2)N=N1","","","",""
"VT00048","","EN300-14213","Enamine","ClC1=CC=C2NC(=O)OC2=C1","","","",""
"VT00237","","EN300-142466","Enamine","CC(O)C1=NC(C)=CS1","","","",""
"VT00015","","EN300-15278","Enamine","O=C(N1CCNCC1)C1=CC=NC=C1","","","",""
"VT00193","","EN300-154076","Enamine","CS(=O)(=O)N1CCOCC1","","","",""
"VT00248","","EN300-1590342","Enamine","CS(=O)(=O)N1C=CC=C1","","","",""
"VT00227","","EN300-172459","Enamine","NC1=NC(=CO1)C1=CC=CC=C1","","","",""
"VT00262","","EN300-172866","Enamine","NC(=O)C1(CCOCC1)N1CCCC1","","","",""
"VT00172","","EN300-178581","Enamine","N#CC1=C2C=CNC2=NC=C1","","","",""
"VT00258","","EN300-205551","Enamine","COC1=C2NN=CC2=CC=C1","","","",""
"VT00211","","EN300-20690","Enamine","OCC1CCCCO1","","","",""
"VT00019","","Z2168499556","Enamine","O=S1(=O)CC(CN1)C1=CC=CC=C1","","","",""
"VT00124","","EN300-219610","Enamine","NC1=CC(=O)NC2=C1CCC2","","","",""
"VT00083","","EN300-221874","Enamine","CC1=CC=CN2C(N)=CN=C12","","","",""
"VT00164","","EN300-226828","Enamine","NC(C1=CC=CN1)C(F)(F)F","","","",""
"VT00053","","EN300-227152","Enamine","O=C1NCC2=CC=CN=C12","","","",""
"VT00220","","EN300-232541","Enamine","CN1N=C(C=C1C(N)=O)C(F)(F)F","","","",""
"VT00077","","EN300-236218","Enamine","CC1=CSC(CC(N)=O)=N1","","","",""
"VT00123","","EN300-246045","Enamine","O=C1CC(CN1)C1=CC=NC=C1","","","",""
"VT00236","","EN300-254652","Enamine","COC(=O)C1=CC=NN=C1","","","",""
"VT00066","","EN300-25492","Enamine","CN1C=CN=C1C(O)C(F)(F)F","","","",""
"VT00150","","EN300-25605","Enamine","COC1=CC=C(C=N1)C#N","","","",""
"VT00163","","EN300-25964","Enamine","C1CNCC(C1)C1=NC2=C(N1)C=CC=C2","","","",""
"VT00173","","EN300-26424","Enamine","NS(=O)(=O)C1=CN=CC=C1","","","",""
"VT00249","","EN300-268400","Enamine","O=C1N[C@@H](CO1)C1=CC=CC=C1","","","",""
"VT00191","","EN300-269217","Enamine","COC(=O)C1=C2C=CC=CN2C=N1","","","",""
"VT00096","","EN300-26941","Enamine","NC1=CC(=NO1)C1CC1","","","",""
"VT00247","","EN300-27368","Enamine","CC1=NN2CCC(=O)NC2=C1","","","",""
"VT00085","","EN300-30137","Enamine","NC1=CC=CC2=NC=CC=C12","","","",""
"VT00228","","EN300-30396","Enamine","COC1=NC=CC=C1C(O)=O","","","",""
"VT00127","","EN300-30636","Enamine","O=C1NN=CN1C1=CC=CC=C1","","","",""
"VT00261","","EN300-30805","Enamine","N#CC1=CC=CN=C1N1CCOCC1","","","",""
"VT00245","","EN300-30975","Enamine","CC1=CC=C(S1)C1=CC(=NN1)C(O)=O","","","",""
"VT00155","","EN300-310875","Enamine","O=C1CCC2=CC=CC3=C2N1CC3","","","",""
"VT00260","","EN300-31119","Enamine","CCS(=O)(=O)N1CCCC(C1)C(O)=O","","","",""
"VT00212","","EN300-31159","Enamine","CC(=O)CC1=NC(=NO1)C1=CC=C(C)C=C1","","","",""
"VT00059","","EN300-315292","Enamine","CNC(=O)C1=CC=CS1","","","",""
"VT00240","","EN300-34736","Enamine","N1C=CC2=CC=CN=C12","","","",""
"VT00022","","EN300-35262","Enamine","N1C=NC(=C1)C1=CC=CC=C1","","","",""
"VT00230","","EN300-41377","Enamine","NC1=C(C=NN1)C1=CC=C(F)C=C1","","","",""
"VT00265","","EN300-41693","Enamine","NC1=C2N=CNC2=CC=C1","","","",""
"VT00223","","EN300-41818","Enamine","CN(C)S(=O)(=O)C1=CC=CC=C1F","","","",""
"VT00219","","EN300-42713","Enamine","CN(CC1=CC=CC=C1)C(N)=O","","","",""
"VT00068","","EN300-43115","Enamine","CC1=NC=C(N1)C(F)(F)F","","","",""
"VT00082","","EN300-43775","Enamine","OC(=O)C1=CC2=C(NC(=O)C2)C=C1","","","",""
"VT00167","","EN300-45212","Enamine","NC(=O)C1=C(C=CS1)C1=CC=CC=C1","","","",""
"VT00162","","EN300-48617","Enamine","N1C2=C(C=CC=C2)N=C1C1=CC=CN=C1","","","",""
"VT00079","","EN300-49174","Enamine","COC1=C(C=CC=C1)C(N)=O","","","",""
"VT00169","","EN300-49468","Enamine","CC1=CN2C=C(N)C=CC2=N1","","","",""
"VT00180","","EN300-49971","Enamine","NC(=O)C1=CNC2=CC=CC=C12","","","",""
"VT00128","","EN300-50146","Enamine","OC1=CC=CC(=N1)C(F)(F)F","","","",""
"VT00143","","EN300-50615","Enamine","NC1=CC(=CC=N1)C#N","","","",""
"VT00241","","EN300-52976","Enamine","OC1=CC=C(Cl)N=C1","","","",""
"VT00235","","EN300-53702","Enamine","CC1=CC=C(Cl)N=N1","","","",""
"VT00234","","EN300-54948","Enamine","OCC1=CN=C(N1)C1=CC=CC=C1","","","",""
"VT00181","","EN300-55307","Enamine","CCS(=O)(=O)NC1=CC=CN=C1","","","",""
"VT00036","","EN300-59831","Enamine","CC(=O)NC1CCNCC1","","","",""
"VT00250","","EN300-59958","Enamine","O=C1NC2CCC1CC2","","","",""
"VT00118","","EN300-60484","Enamine","COC1=CC=CN=C1N","","","",""
"VT00086","","EN300-61047","Enamine","NC(=O)C1CCC2=CC=CC=C2N1","","","",""
"VT00254","","EN300-62383","Enamine","O=C1NC(=CS1)C1=CC=CN=C1","","","",""
"VT00002","","EN300-62817","Enamine","NC(=O)C1=CC=CC(CO)=C1","","","",""
"VT00136","","EN300-63856","Enamine","CNC1=NC=NC2=CC=CC=C12","","","",""
"VT00217","","EN300-65251","Enamine","O=C1OCCC2=CC=CC=C12","","","",""
"VT00089","","EN300-66307","Enamine","NC(=O)C1=CC2=C(C=NN2)C=C1","","","",""
"VT00243","","EN300-6745707","Enamine","CN1C=NC2=C(Cl)N=CN=C12","","","",""
"VT00165","","EN300-6760173","Enamine","NCC1=CC2=C(CCC2)S1","","","",""
"VT00255","","EN300-6762689","Enamine","COC(=O)C1=CC=NC(O)=C1","","","",""
"VT00033","","EN300-68985","Enamine","CC1=C(C=CC(N)=C1)C(N)=O","","","",""
"VT00215","","EN300-70456","Enamine","COC(=O)C1=C(C)NN=C1C","","","",""
"VT00216","","EN300-726556","Enamine","CN1C=CC=C1C(N)=O","","","",""
"VT00178","","EN300-73584","Enamine","NC1CCN(C1=O)C1=CC=CC=C1","","","",""
"VT00252","","EN300-74500","Enamine","O=C1NCCN2CCCC12","","","",""
"VT00064","","EN300-7461022","Enamine","COC1=CC(N)=CC(F)=C1","","","",""
"VT00224","","EN300-75861","Enamine","NC(=O)C1=CC=NC(Cl)=C1","","","",""
"VT00238","","EN300-80715","Enamine","OC1=NOC2=CC=CC=C12","","","",""
"VT00263","","EN300-82368","Enamine","CN1CCCN(C)C1=O","","","",""
"VT00242","","EN300-82512","Enamine","CC1=CC(C)=NC=N1","","","",""
"VT00188","","EN300-84905","Enamine","FC(F)(F)C1=CC(=O)NC=C1","","","",""
"VT00147","","EN300-91544","Enamine","CC(=O)N1CCCCC1CO","","","",""
"VT00213","","EN300-92423","Enamine","CCC1=NOC(C1)C(O)=O","","","",""
"VT00039","","EN300-95739","Enamine","NC1=NC=C(Cl)C=N1","","","",""
"VT00065","","EN300-96866","Enamine","CNCC1=NC=CS1","","","",""
"VT00056","","EN300-97654","Enamine","NC1=NC(=CO1)C(F)(F)F","","","",""
"VT00233","","EN300-116995","Enamine","CNC1=NC=CC=C1OC","","","",""
"VT00259","","EN300-120617","Enamine","COC(=O)C1=NNC2=C1CCCC2","","","",""
"VT00159","","EN300-123975","Enamine","O1N=CC=C1C1=CC=CC=C1","","","",""
"VT00034","","EN300-127243","Enamine","NC1=CC2=C(CCOC2)N=C1","","","",""
"VT00154","","EN300-33604","Enamine","NCC1=CN2C=CC=CC2=N1","","","",""
"VT00231","","EN300-239652","Enamine","NCC1=CC=CN=C1N1CCCC1","","","",""
"VT00267","","EN300-51076","Enamine","CN1CCCC1CO","","","",""
"VT00207","","EN300-67072","Enamine","COC(=O)CN1C=CC(N)=N1","","","",""
"VT00084","","EN300-87504","Enamine","CC1=CC=C(C=C1)S(=O)(=O)N1CCC[C@H]1C(O)=O","","","",""
"VT00268","","OTV000831","Enamine","C1=CC=C(C=C1)C2=CSC(=N2)N","","","",""
"VT00401","4-acetamidobenzoic acid","EN300-17813","Enamine","CC(=O)NC1=CC=C(C=C1)C(=O)O","","556-08-1 ","",""
"VT00402","3-amino-1lambda6,2-benzothiazole-1,1-dione","EN300-11834 ","Enamine","C1=CC=C2C(=C1)C(=NS2(=O)=O)N",""," 7668-28-2 ","",""
"VT00403","5-amino-1-methyl-1,2-dihydropyridin-2-one","EN300-45114 ","Enamine","CN1C=C(N)C=CC1=O","","33630-96-5 ","",""
"VT00404","3-AMINO-5-METHYLPYRIDINE","EN300-87442","Enamine","CC1=CC(=CN=C1)N","","3430-19-1 ","",""
"VT00405","1,2,3,4-tetrahydroquinazoline-2,4-dione","EN300-17895 ","Enamine","O=C1NC(=O)c2ccccc2N1","","86-96-4 ","",""
"VT00406","benzyldimethylamine","EN300-16212","Enamine","CN(C)CC1=CC=CC=C1","","103-83-3 ","",""
"VT00407","8-chloro-1,2,3,4-tetrahydroisoquinoline","EN300-251855 ","Enamine","C1CNCC2=C1C=CC=C2Cl","","75416-50-1 ","",""
"VT00408","3-chloro-5-methylpyridazine","EN300-181576","Enamine","Cc1cc(Cl)nnc1","","89283-31-8 ","",""
"VT00409","1-(5-chloropyrimidin-2-yl)methanamine hydrochloride","EN300-7417637 ","Enamine","C1=C(C=NC(=N1)CN)Cl.Cl","","1609409-10-0 ","",""
"VT00410","4H,5H,6H-cyclopenta[c][1,2]oxazol-3-amine","EN300-202869 ","Enamine","NC1=C2CCCC2=NO1","","698975-77-8 ","",""
"VT00411","2',3'-dihydrospiro[imidazolidine-4,1'-indene]-2,5-dione","EN300-04401 ","Enamine","C1CC2(C3=CC=CC=C31)C(=O)NC(=O)N2","","6252-98-8 ","",""
"VT00412","dimethyl-2H-1,3-dioxol-2-one","EN300-124927","Enamine","CC1=C(OC(=O)O1)C","","37830-90-3 ","",""
"VT00413","N,N-dimethyl-1H-pyrrole-2-carboxamide","EN300-318366 ","Enamine","CN(C)C(=O)C1=CC=CN1","","7126-47-8 ","",""
"VT00414","3,4-dimethylaniline hydrochloride","EN300-191769 ","Enamine","CC1=C(C=C(C=C1)N)C.Cl","","7356-54-9 ","",""
"VT00415","2,4-Dimethylbenzoic acid","EN300-20447 ","Enamine","CC1=CC(=C(C=C1)C(=O)O)C","","611-01-8 ","",""
"VT00416","4,4-dimethyldihydro-2H-pyran-2,6(3H)-dione","EN300-23123 ","Enamine","CC1(CC(=O)OC(=O)C1)C","","4160-82-1 ","",""
"VT00417","3,4-dimethylpyridine","EN300-93082 ","Enamine","CC1=C(C=NC=C1)C","","583-58-4 ","",""
"VT00418","ethyl morpholine-4-carboxylate","EN300-113408 ","Enamine","CCOC(=O)N1CCOCC1",""," 6976-49-4 ","",""
"VT00419","4-fluoro-2,3-dihydro-1H-isoindole","EN300-250158 ","Enamine","C1C2=C(CN1)C(=CC=C2)F","","127168-78-9 ","",""
"VT00420","2-fluoropyridine","EN300-20457 ","Enamine","C1=CC=NC(=C1)F","","372-48-5 ","",""
"VT00421","3-hydroxy-N,N-dimethylbenzamide","EN300-37291 ","Enamine","CN(C)C(=O)C1=CC(=CC=C1)O","","15789-03-4 ","",""
"VT00422","5H,6H,7H,8H-imidazo[1,5-a]pyridine","EN300-106954 ","Enamine","C1CCN2C(=CN=C2C3CCNCC3)C1",""," 38666-30-7 ","",""
"VT00423","4-(1H-imidazol-2-yl)phenol","EN300-61826 ","Enamine","C1=CC(=CC=C1C2=NC=CN2)O","","15548-89-7 ","",""
"VT00424","isoquinoline-6-carboxylic acid","EN300-97898 ","Enamine","C1=CC2=C(C=CN=C2)C=C1C(=O)O","","106778-43-2 ","",""
"VT00425","(6-methoxypyridin-2-yl)methanol","EN300-102976 ","Enamine","COc1cccc(CO)n1","","63071-12-5 ","",""
"VT00426","4-methyl-1-(propan-2-yl)-1H-pyrazol-5-amine","EN300-232544 ","Enamine","C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C","","3524-50-3 ","",""
"VT00427","1-methyl-1,2-dihydropyridin-2-one","EN300-122028 ","Enamine","CN1C=CC=CC1=O",""," 694-85-9 ","",""
"VT00428","2-methyl-1,8-naphthyridine-3-carboxylic acid","EN300-179588 ","Enamine","CC1=C(C=C2C=CC=NC2=N1)C(=O)O","","387350-60-9 ","",""
"VT00429","1-methyl-1H-imidazole-4-carboxylic acid","EN300-97847 ","Enamine","CN1C=C(N=C1)C(=O)O","","41716-18-1 ","",""
"VT00430","3-methyl-1H-indazol-5-amine","EN300-55150 ","Enamine","CC1=C2C=C(C=CC2=NN1)N","","90764-90-2 ","",""
"VT00431","5-methylfuran-2-carboxamide","EN300-173695 ","Enamine","CC1=CC=C(O1)C(=O)N","","99968-74-8 ","",""
"VT00432","3-methylmorpholine","EN300-35609 ","Enamine","CC1COCCN1","","42185-06-8 ","",""
"VT00433","2-(3-methylphenoxy)acetamide","EN300-07377 ","Enamine","CC1=CC(=CC=C1)OCC(=O)N","","10017-53-5","",""
"VT00434","(1-methylpiperidin-4-yl)methanol","EN300-49637 ","Enamine","CN1CCC(CC1)CO","","20691-89-8 ","",""
"VT00435","N-methylpyridine-2-carboxamide","EN300-35615 ","Enamine","CNC(=O)C1=CC=CC=N1","","6144-78-1 ","",""
"VT00436","1-(2-methylpyrrolidin-1-yl)ethan-1-one","EN300-5007851 ","Enamine","CC1CCCN1C(=O)C","","18912-61-3 ","",""
"VT00437","4-(1,3,4-oxadiazol-2-yl)pyridine","EN300-44122 ","Enamine","C1=CN=CC=C1C2=NN=CO2","","64001-70-3 ","",""
"VT00438","1-(oxan-2-yl)-1H-pyrazole","EN300-200719 ","Enamine","C1CCOC(C1)N2C=CC=N2","","449758-17-2 ","",""
"VT00439","1-phenyl-1H-imidazole","EN300-67324 ","Enamine","c1ccc(cc1)-n2ccnc2","","7164-98-9 ","",""
"VT00440","3-phenylpropanamide","EN300-45094 ","Enamine","C1=CC=C(C=C1)CCC(=O)N","","102-93-2 ","",""
"VT00441","3-(piperidin-1-ylmethyl)benzene-1-carboximidamide dihydrochloride","EN300-55960 ","Enamine","C1CCN(CC1)CC2=CC=CC(=C2)C(=N)","","1208849-38-0 ","",""
"VT00442","1H,3H-furo[3,4-c]pyridine-1,3-dione","EN300-70000 ","Enamine","C1=CN=CC2=C1C(=O)OC2=O","","4664-08-8 ","",""
"VT00443","2-pyrimidinecarbonitrile","EN300-43565 ","Enamine","C1=CN=C(N=C1)C#N","","14080-23-0 ","",""
"VT00444","3-[(pyrrolidin-1-yl)methyl]benzoic acid hydrochloride","EN300-7356311 ","Enamine","C1CCN(C1)CC2=CC=CC(=C2)C(=O)O.Cl","","887922-93-2 ","",""
"VT00445","[4-(pyrrolidine-1-carbonyl)phenyl]methanamine","EN300-35107 ","Enamine","C1CCN(C1)C(=O)C2=CC=C(C=C2)CN","","882855-90-5 ","",""
"VT00446","4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylic acid","EN300-00863 ","Enamine","C1CCC2=C(C1)C(=CS2)C(=O)O","","19156-54-8 ","",""
"VT00447","2,2,4-trimethylpyrrolidine hydrochloride","EN300-374336 ","Enamine","Cl.CC1CNC(C)(C)C1","","1390654-80-4 ","",""
"VT00448","5,5-dimethyl-1,3-dioxane","EN300-110112 ","Enamine","CC1(COCOC1)C",""," 872-98-0 ","",""
"VT00449","2-(1H-imidazol-1-yl)propanoic acid hydrochloride","EN300-40143 ","Enamine","CC(C(=O)O)N1C=CN=C1.Cl","","90269-13-9 ","",""
"VT00450","2-(methoxymethyl)-1H-imidazole","EN300-142444 ","Enamine","COCC1=NC=CN1","","102644-75-7 ","",""
"VT00451","N-methylpiperidine-2-carboxamide hydrochloride","EN300-113076 ","Enamine","CNC(=O)C1CCCCN1.Cl",""," 1236263-43-6 ","",""
"DMSO","Dimethyl sulfoxide ","","","","","","",""
"EDO","Ethylene glycol","","","","","","",""
"NAD","Nicotinamide adenine dinucleotide","","","","","","",""
"ATP","Adenosine triphosphate","","","","","","",""